fall_term,campus,atp_code,cds_code,high_school,city,county,cde_district,zip,lat,lon,charter,applicants,admits,enrollees,admit_rate,yield_rate,applicant_gpa,admit_gpa,enrollee_gpa,adm_african_american,adm_american_indian,adm_asian,adm_domestic_unknown,adm_hispanic_latinx,adm_int_l,adm_pacific_islander,adm_white,app_african_american,app_american_indian,app_asian,app_domestic_unknown,app_hispanic_latinx,app_int_l,app_pacific_islander,app_white,enr_african_american,enr_american_indian,enr_asian,enr_domestic_unknown,enr_hispanic_latinx,enr_int_l,enr_pacific_islander,enr_white,school_type,match_method,cohort_students,graduates,grad_rate,ag_completers,ag_completion_rate,hs_completers,college_going_rate,enrolled_uc,enrolled_csu,enrolled_ccc,enrolled_in_state_private,enrolled_out_of_state,enrollment_k12,frpm_count,frpm_pct,caaspp_ela_mean_score,caaspp_mathematics_mean_score,caaspp_ela_pct_met,caaspp_mathematics_pct_met,expected_admit_rate,admit_rate_residual,peer_cohort_students,peer_ag_completers,peer_applicants,peer_admits,peer_enrollees
2005,Universitywide,52910,38684783833241.0,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,San Francisco Unified,94116-1723,37.747259,-122.48132,N,172.0,145.0,104.0,0.8430232558139535,0.7172413793103448,3.8975,4.005362319,4.101428571,,,120.0,9.0,5.0,,,9.0,,,144.0,10.0,6.0,,,9.0,,,88.0,5.0,4.0,,,5.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,53075,43696664333795.0,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,San Jose Unified,95126-2002,37.329212,-121.92388,N,80.0,69.0,34.0,0.8625,0.4927536231884058,3.946744186,4.001764706,4.127931034,,,16.0,6.0,14.0,,,32.0,,,17.0,7.0,20.0,,,35.0,,,7.0,,7.0,,,18.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,51315,7616300730283.0,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Acalanes Union High,94549-2623,37.904313,-122.09906,N,138.0,129.0,62.0,0.9347826086956522,0.4806201550387597,3.980797546,3.99125,4.07245283,,,20.0,12.0,6.0,,,88.0,,,22.0,13.0,6.0,,,94.0,,,15.0,5.0,,,,40.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,53276,43696744338802.0,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Santa Clara Unified,95051-1153,37.366875,-121.98578,N,75.0,71.0,44.0,0.9466666666666668,0.6197183098591549,3.851448276,3.89720339,4.016071429,,,40.0,,6.0,,,19.0,,,42.0,,7.0,,,20.0,,,28.0,,3.0,,,10.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50011,1611190130609.0,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,Alameda Unified,94501-1851,37.779051,-122.28703,Y,11.0,10.0,4.0,0.9090909090909092,0.4,3.862,,,,,,,,,,4.0,,,,,,,,5.0,,,,,,,,,K-12 Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50005,1611190130229.0,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Alameda Unified,94501-4406,37.764958,-122.24593,N,163.0,143.0,88.0,0.8773006134969326,0.6153846153846154,3.96852459,4.023732057,4.075772358,9.0,,84.0,6.0,11.0,,,30.0,11.0,,98.0,6.0,12.0,,,32.0,6.0,,56.0,,4.0,,,18.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50035,1611270130450.0,ALBANY HIGH SCHOOL,Albany,Alameda,Albany City Unified,94706-1422,37.896661,-122.29257,N,126.0,119.0,76.0,0.9444444444444444,0.6386554621848739,3.918080808,3.973913043,4.049444444,4.0,,46.0,14.0,8.0,5.0,,42.0,6.0,,47.0,15.0,9.0,5.0,,44.0,,,34.0,10.0,5.0,,,25.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,51915,7617390730549.0,ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,Martinez Unified,94553-3139,38.002496,-122.13371,N,50.0,43.0,17.0,0.86,0.3953488372093023,3.935365854,3.967352941,4.184545455,,,5.0,5.0,7.0,,,26.0,,,5.0,6.0,7.0,,,31.0,,,3.0,,,,,10.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,52495,1751010130583.0,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Pleasanton Unified,94566-6176,37.668296,-121.87327,N,117.0,110.0,58.0,0.9401709401709402,0.5272727272727272,3.859924242,3.917963526,3.985342466,,,35.0,8.0,12.0,,,55.0,,,38.0,8.0,13.0,,,57.0,,,27.0,5.0,4.0,,,22.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50974,1611760130062.0,AMERICAN HIGH SCHOOL,Fremont,Alameda,Fremont Unified,94536-3511,37.563645,-122.01747,N,104.0,95.0,54.0,0.9134615384615384,0.5684210526315789,3.950806846,3.988552279,4.063434343,,,69.0,7.0,5.0,,,12.0,,,74.0,8.0,7.0,,,13.0,,,42.0,5.0,,,,6.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,53345,49706074930400.0,ANALY HIGH SCHOOL,Sebastopol,Sonoma,West Sonoma County Union High,95472-3401,38.406988,-122.82646,N,79.0,73.0,44.0,0.9240506329113924,0.6027397260273972,3.887460317,3.965853659,4.046470588,,,4.0,7.0,,,,59.0,,,5.0,7.0,,,,62.0,,,,3.0,,,,38.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,53077,43694274332995.0,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,East Side Union High,95111-1332,37.291923,-121.83173,N,54.0,44.0,31.0,0.8148148148148148,0.7045454545454546,3.898163265,3.929487179,4.02,,,35.0,,7.0,,,,,,42.0,,9.0,,,,,,24.0,,5.0,,,,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50919,48705404830170.0,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Fairfield-Suisun Unified,94534-9527,38.197706,-122.14461,N,44.0,33.0,16.0,0.75,0.4848484848484848,3.968733333,4.014049587,4.211,3.0,,8.0,,6.0,,,12.0,6.0,,11.0,,7.0,,,16.0,,,4.0,,4.0,,,5.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50115,7616480730861.0,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,Antioch Unified,94509-1576,38.006279,-121.81595,N,38.0,31.0,15.0,0.8157894736842105,0.4838709677419355,3.679534884,3.848666667,4.098181818,,,5.0,,7.0,,,16.0,,,5.0,,10.0,,,17.0,,,,,,,,8.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,53163,41690474130217.0,ARAGON HIGH SCHOOL,San Mateo,San Mateo,San Mateo Union High,94402-3357,37.549921,-122.33038,N,100.0,90.0,47.0,0.9,0.5222222222222223,3.93408,3.983457944,4.103370787,,,42.0,8.0,7.0,,,30.0,,,44.0,9.0,8.0,,,34.0,,,27.0,5.0,,,,10.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,52770,21654822131340.0,ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,Tamalpais Union High,94960-1800,37.984157,-122.57197,N,92.0,90.0,50.0,0.9782608695652174,0.5555555555555556,3.919925926,3.976597938,4.096923077,,,,7.0,5.0,,,75.0,,,,7.0,6.0,,,76.0,,,,5.0,,,,40.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50910,48705404830451.0,ARMIJO HIGH SCHOOL,Fairfield,Solano,Fairfield-Suisun Unified,94533-5541,38.250617,-122.03907,N,49.0,44.0,23.0,0.8979591836734694,0.5227272727272727,3.804255319,3.881428571,4.0445,,,15.0,5.0,10.0,,,12.0,,,16.0,5.0,10.0,,,15.0,,,8.0,3.0,6.0,,,5.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,53125,1613090130849.0,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,San Lorenzo Unified,94580-1407,37.68081,-122.13836,N,55.0,52.0,36.0,0.9454545454545454,0.6923076923076923,3.904672897,3.962527473,4.111875,,,33.0,,4.0,,,11.0,,,34.0,,5.0,,,12.0,,,26.0,,,,,7.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,52916,38684783830288.0,BALBOA HIGH SCHOOL,San Francisco,San Francisco,San Francisco Unified,94112-3236,37.722073,-122.43985,N,34.0,29.0,16.0,0.8529411764705882,0.5517241379310345,3.796118421,3.89525,4.009833333,,,24.0,,,,,,,,27.0,,,,,,,,14.0,,,,,,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50280,48705244831004.0,BENICIA HIGH SCHOOL,Benicia,Solano,Benicia Unified,94510-2428,38.062989,-122.17349,N,87.0,77.0,43.0,0.8850574712643678,0.5584415584415584,3.898695652,4.054411765,4.121891892,4.0,,17.0,8.0,,,,43.0,6.0,,21.0,10.0,,,,45.0,,,10.0,4.0,,,,24.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50290,1611430131177.0,BERKELEY HIGH SCHOOL,Berkeley,Alameda,Berkeley Unified,94704-1463,37.868913,-122.2712,N,277.0,238.0,110.0,0.8592057761732852,0.4621848739495798,3.947409766,4.021345178,4.069265537,19.0,,29.0,43.0,17.0,,,126.0,30.0,,36.0,49.0,25.0,,,133.0,7.0,,17.0,29.0,8.0,,,48.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,53082,43694014330866.0,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,Campbell Union High,95118-2201,37.254576,-121.89957,N,37.0,30.0,12.0,0.8108108108108109,0.4,3.943492063,4.0022,4.080666667,,,6.0,,,,,23.0,,,7.0,,,,,29.0,,,4.0,,,,,7.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Universitywide,50410,41690474130472.0,BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,San Mateo Union High,94010-2708,37.58202,-122.3486,N,116.0,109.0,65.0,0.9396551724137931,0.5963302752293578,3.921382488,3.968711656,4.08755102,,,20.0,9.0,14.0,,,65.0,,,21.0,9.0,15.0,,,68.0,,,15.0,5.0,8.0,,,37.0,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,,,,,,,
